student_id,student_name,age,gender,socioeconomic_status,attendance_percentage,assignment_timeliness,quiz_test_avg_pct,fee_payment_status,lms_login_count_monthly,time_spent_online_hours_week
STU_0001,Student 1,24.0,Female,2.0,86.12319840360081,100.0,69.11770907562232,Paid,11.783190013023967,11.810869642661615
STU_0002,Student 2,21.0,Female,1.0,79.03654651122116,100.0,96.31479753174608,Partial,11.93098658522821,12.792707727750173
STU_0003,Student 3,22.0,Female,5.0,80.50271800671727,73.44906412216805,67.03818085861293,Partial,10.70646775556017,10.62036470885204
STU_0004,Student 4,24.0,Male,1.0,65.35509385973201,58.91913570621014,60.73006726971097,Paid,11.268402271700428,11.985530042364168
STU_0005,Student 5,20.0,Female,5.0,99.30421791078774,95.61058608155697,96.14587877476845,Paid,16.0,11.406437534661649
STU_0006,Student 6,22.0,Male,,67.71777324123927,76.653306993872,91.73826421564483,Paid,12.881789761906827,10.524098154527826
STU_0007,Student 7,22.0,Male,4.0,76.75243247639541,96.64198203352177,100.0,Paid,14.084223941864424,12.740839077896972
STU_0008,Student 8,24.0,Male,3.0,51.523515926409395,41.73138866386235,55.38185682166997,Paid,6.358120190670607,8.863259058450067
STU_0009,Student 9,19.0,Other,2.0,60.566024394964266,66.28468839213535,60.8473973196343,Unpaid,11.101345620259025,11.565896456016008
STU_0010,Student 10,20.0,Male,1.0,69.3619192358037,67.32300988796719,61.40232089144851,Paid,11.150133629737752,12.775852599426335
STU_0011,Student 11,24.0,Male,5.0,100.0,100.0,100.0,Paid,14.792102551619353,9.546108932178852
STU_0012,Student 12,20.0,Female,5.0,73.32035090907743,95.96221631019279,75.7620799753188,Paid,11.733037929063828,8.917613869311321
STU_0013,Student 13,20.0,Male,1.0,44.42700418783465,40.82208062633943,37.03964551237768,Paid,10.271038107002914,10.594664335649963
STU_0014,Student 14,22.0,Male,1.0,45.948838061329,20.90082306122304,18.042987840696746,Partial,8.960219759145371,8.031382615965764
STU_0015,Student 15,21.0,Male,2.0,31.471470568666255,42.62999572187065,49.639573539696386,Paid,4.746513550706945,14.128793257932195
STU_0016,Student 16,20.0,Male,3.0,76.4686511209639,63.97807284188211,71.34446899557148,Paid,15.756868683982315,13.909873580331428
STU_0017,Student 17,23.0,Male,5.0,100.0,97.85326394554333,88.91853746082698,Partial,17.0,13.343338302139685
STU_0018,Student 18,22.0,Male,2.0,78.90841714138968,90.71387969446388,85.74140775400167,Paid,9.669350090860572,8.803736499262568
STU_0019,Student 19,19.0,Female,3.0,55.41101368494746,59.871936487914084,65.21318754590656,Partial,10.519820931390683,9.299585899309253
STU_0020,Student 20,,Male,2.0,96.09766099978229,94.57186061648662,84.98481274546144,Paid,14.723033740423686,12.421798192842198
STU_0021,Student 21,23.0,Male,5.0,69.69284909332221,61.05462340644739,75.5280446237388,Paid,16.620117634962185,13.534022682723608
STU_0022,Student 22,23.0,Female,1.0,41.80157034102013,0.0,7.310102801282893,Partial,7.178311078871007,7.675757250048477
STU_0023,Student 23,19.0,Male,1.0,46.09729904894582,56.572111285288855,58.630225863626976,Paid,8.553393618082461,8.730392316001428
STU_0024,Student 24,21.0,Female,3.0,58.42619314264112,54.63191765425466,59.32320483362569,Paid,16.354765046612243,15.865951673775314
